"fledged","intercept","age","age2"
"1",3,1,3,9
"2",1,1,3,9
"3",1,1,1,1
"4",2,1,1,1
"5",0,1,1,1
"6",0,1,1,1
"7",6,1,1,1
"8",3,1,1,1
"9",4,1,1,1
"10",2,1,1,1
"11",1,1,2,4
"12",6,1,2,4
"13",2,1,2,4
"14",3,1,2,4
"15",3,1,2,4
"16",4,1,2,4
"17",7,1,2,4
"18",2,1,2,4
"19",2,1,2,4
"20",1,1,5,25
"21",1,1,5,25
"22",3,1,4,16
"23",5,1,4,16
"24",5,1,4,16
"25",0,1,4,16
"26",2,1,4,16
"27",1,1,4,16
"28",2,1,4,16
"29",6,1,4,16
"30",6,1,4,16
"31",2,1,4,16
"32",2,1,4,16
"33",0,1,4,16
"34",2,1,5,25
"35",4,1,4,16
"36",1,1,4,16
"37",2,1,4,16
"38",5,1,4,16
"39",1,1,5,25
"40",2,1,5,25
"41",1,1,5,25
"42",0,1,5,25
"43",0,1,3,9
"44",2,1,3,9
"45",4,1,3,9
"46",2,1,3,9
"47",2,1,3,9
"48",2,1,3,9
"49",2,1,3,9
"50",0,1,6,36
"51",3,1,1,1
"52",2,1,1,1
